year,original,improved,confirm2,buffer1,confirm2_buffer1,weekly,hybrid_score,hybrid_score_conservative,buy_hold,weekly_price,monthly_10m,weekly_price_vol
2015,0.2133214453,0.1998792286,0.2043545808,0.2482649156,0.2693453405,0.159924132,0.1911253762,0.1818448814,0.5239452682,0.2193997497,0.05106345267,0.151377618
2016,0.821491961,0.8243494443,0.8174792588,0.89788023,0.8879795027,0.8334259281,0.8302982668,0.7823867356,1.255113146,0.952191244,1.255113146,1.163317746
2017,13.36728904,13.36728904,13.36728904,13.36728904,13.36728904,13.36728904,13.20014269,13.20014269,13.36728904,12.06407259,13.36728904,2.659887631
2018,-0.7094903423,-0.4449357775,-0.4259232651,-0.442097713,-0.3879584943,-0.4871840713,-0.4680527856,-0.480625988,-0.7351431191,-0.6663164881,-0.5960696264,-0.3351876864
2019,1.626125099,1.308896677,1.145655947,1.104067641,1.01819236,1.26708477,1.304636581,1.307543863,0.9438585298,1.511541434,0.3927869005,1.068479916
2020,0.6940627714,0.885556229,1.012656822,0.9162386705,1.102760108,0.9662028133,0.8004893694,0.6798066812,3.049263532,2.167345981,1.974937321,1.478059697
2021,0.5949335368,0.4224313828,0.3958619945,0.4116445233,0.4089604361,0.3925957991,0.4804821067,0.4341956375,0.5972036713,0.6319624795,0.5972036713,0.257879626
2022,-0.629965748,-0.338750075,-0.3606521212,-0.361460923,-0.3116942493,-0.3498428926,-0.2762937743,-0.1598304715,-0.6435298031,-0.3256913213,0.02496665112,-0.2308863184
2023,0.7831503596,0.4164048685,0.4084278853,0.4109900678,0.4128616379,0.3731817174,0.4341556105,0.3477027429,1.554865791,0.3464718491,0.7774949919,0.2792411901
2024,0.9557546908,0.9779113208,1.056543291,0.9130310718,1.012553715,1.018814634,0.9098137434,0.8969539342,1.212127374,0.5812054293,1.212127374,0.5579188798
2025,-0.05704097355,-0.0036084201,0.0127491008,0.05577824534,0.02785376885,0.002053747543,-0.006482219086,0.004256864377,-0.06288437069,-0.1138451298,-0.07465060911,-0.1479861542
2026,-0.01229124106,-0.01229124106,-0.01467377744,-0.01702634547,-0.01965198447,-0.01615143053,0.003737628868,-0.01229124106,-0.1245142562,-0.009228682972,0,-0.01235608233
