,strategy,CAGR,MDD,volatility,Sharpe,Sortino,Ulcer,UPI,Calmar,mean_weight,mean_cash,orders,turnover_pa,fee_sum,final_multiple,reversal_14d_count,reversal_14d_rate,recovery_max_days,recovery_mean_days,recovered_episodes,unrecovered_days,underwater_max_days,fold_year,role
0,original,0.9160502354,-0.8221245546,0.6847799812,1.291330563,1.933365266,0.3543748569,2.584975253,1.114247507,0.7644528654,0.2355471346,23,4.042233632,0.0138116566,9.22440869,6,0.2727272727,189,19.65853659,41,380,380,2019,expanding_past
1,improved,1.309315899,-0.6295798235,0.6472113948,1.61599417,2.47554599,0.3300232239,3.967344731,2.079666231,0.6674721198,0.3325278802,33,4.084596219,0.01395640269,17.45675947,8,0.25,190,19.68292683,41,380,380,2019,expanding_past
2,confirm2,1.332156872,-0.612138489,0.6470517276,1.631470808,2.501172164,0.3236208794,4.116412001,2.176234456,0.6687145742,0.3312854258,31,3.759076561,0.01284415482,18.05379922,8,0.2666666667,190,19.68292683,41,380,380,2019,expanding_past
3,buffer1,1.366894392,-0.6139043347,0.6462844067,1.655446301,2.544157685,0.3258929186,4.194305289,2.226559278,0.6847284187,0.3152715813,27,3.026813334,0.01034213016,18.98928168,4,0.1538461538,190,19.63414634,41,380,380,2019,expanding_past
4,confirm2_buffer1,1.440139074,-0.5933495387,0.6442473304,1.706005367,2.629663916,0.3110267521,4.63027397,2.427134396,0.6699740184,0.3300259816,25,2.893896438,0.009887974686,21.07331078,3,0.125,190,19.6097561,41,380,380,2019,expanding_past
5,weekly,1.237418133,-0.6577031317,0.6587733532,1.551847824,2.345742111,0.3472997595,3.562968586,1.881423507,0.681416011,0.318583989,25,3.679348635,0.01257173743,15.66856733,4,0.1666666667,189,19.68292683,41,380,380,2019,expanding_past
6,hybrid_score,1.2702417,-0.6229481117,0.6446086808,1.593378199,2.439875689,0.3290683802,3.860114726,2.039081067,0.6594296686,0.3405703314,82,6.390147815,0.02183409849,16.46798994,45,0.5555555556,190,19.70731707,41,380,380,2019,expanding_past
7,hybrid_score_conservative,1.231855397,-0.6353263202,0.6421212817,1.570425765,2.40557421,0.3417260484,3.604803915,1.938933361,0.630128461,0.369871539,44,4.785283101,0.0163505361,15.53586159,20,0.4651162791,190,19.73170732,41,380,380,2019,expanding_past
8,buy_hold,1.122125612,-0.8378314303,0.7652711282,1.366085868,2.02758935,0.3578992477,3.135311457,1.339321457,1,0,1,0.2923758933,0.000999000999,13.0774719,0,0,169,16.87234043,47,380,380,2019,expanding_past
9,weekly_price,0.983238297,-0.767290079,0.6597428079,1.36736407,2.055364862,0.3926094797,2.504367184,1.281442735,0.6690705128,0.3309294872,18,5.265397463,0.01799100899,10.37723841,8,0.4705882353,190,19.28571429,42,380,380,2019,expanding_past
10,monthly_10m,1.15375632,-0.7289900897,0.6944053431,1.451576822,2.196269924,0.3731579567,3.091871149,1.582677648,0.7564102564,0.2435897436,6,1.755132488,0.005997002997,13.75557066,0,0,169,17.8,45,380,380,2019,expanding_past
11,weekly_price_vol,0.6943938067,-0.4151333624,0.3887272288,1.55189196,2.327323197,0.2007286143,3.459366314,1.672700557,0.4285374341,0.5714625659,108,4.81723355,0.0164597056,6.060450411,43,0.4018691589,184,20.225,40,380,380,2019,expanding_past
12,original,1.62786235,-0.265619705,0.6271302502,1.851298229,2.993018429,0.1662618151,9.790957409,6.128545132,0.7287671233,0.2712328767,1,1.000684932,0.001,2.626125099,0,0,48,10.92857143,14,188,188,2019,next_year_holdout
13,improved,1.310220354,-0.3038142729,0.591196191,1.708042842,2.79759039,0.1828302663,7.166320874,4.312570115,0.5335566748,0.4664433252,6,1.953767127,0.001952429846,2.308896677,0,0,19,5.4,15,188,188,2019,next_year_holdout
14,confirm2,1.14677822,-0.3516879336,0.5996586033,1.570405233,2.517208237,0.205290201,5.586132286,3.260783526,0.5338122715,0.4661877285,6,1.980016647,0.001978661399,2.145655947,0,0,19,5.714285714,14,188,188,2019,next_year_holdout
15,buffer1,1.10513994,-0.3560532267,0.5995770858,1.537790436,2.463914215,0.2078280672,5.317568291,3.103861606,0.5297120427,0.4702879573,6,1.965731206,0.001964385736,2.104067641,0,0,19,5.642857143,14,188,188,2019,next_year_holdout
16,confirm2_buffer1,1.019163264,-0.3613605439,0.5875865042,1.487675306,2.333650143,0.2074070157,4.913832159,2.820350149,0.5294693591,0.4705306409,6,1.949430641,0.001948096329,2.01819236,0,0,19,5.571428571,14,188,188,2019,next_year_holdout
17,weekly,1.268356084,-0.3108229514,0.5914168049,1.676626536,2.743602906,0.1842734676,6.883009803,4.08063844,0.5316142196,0.4683857804,6,1.945181192,0.001943849788,2.26708477,0,0,19,5.4,15,188,188,2019,next_year_holdout
18,hybrid_score,1.305954899,-0.3022332468,0.5879475354,1.711115671,2.802741677,0.1824838166,7.156551874,4.321016676,0.5294021141,0.4705978859,20,4.950695426,0.00494730686,2.304636581,11,0.55,34,7.785714286,14,188,188,2019,next_year_holdout
19,hybrid_score_conservative,1.308865838,-0.2948818485,0.5868542803,1.715359914,2.812708434,0.1808244217,7.238324478,4.438611073,0.5087437109,0.4912562891,12,3.444604998,0.003442247294,2.307543863,6,0.5,19,5.4,15,188,188,2019,next_year_holdout
20,buy_hold,0.9447436861,-0.4862220874,0.7077326078,1.288593875,2.055828429,0.224985645,4.199128731,1.943029144,1,0,0,0,0,1.94385853,0,0,48,10.92857143,14,188,188,2019,next_year_holdout
21,weekly_price,1.513126091,-0.265619705,0.5887004344,1.856084117,3.06391135,0.160039486,9.454704765,5.696588252,0.5369863014,0.4630136986,2,2.000370178,0.001999000999,2.511541434,0,0,19,5.4,15,188,188,2019,next_year_holdout
22,monthly_10m,0.3931029909,-0.4602245207,0.6209936299,0.8407425435,1.304513569,0.2179870596,1.803331774,0.8541548162,0.5863013699,0.4136986301,2,2.000370178,0.001999000999,1.392786901,0,0,19,5.714285714,7,188,188,2019,next_year_holdout
23,weekly_price_vol,1.069509899,-0.1260814154,0.3494298321,2.25065658,4.547241765,0.07985662508,13.39287627,8.482692672,0.3066477025,0.6933522975,29,3.103221974,0.003101097935,2.068479916,11,0.3793103448,19,5.0625,16,188,188,2019,next_year_holdout
24,original,1.058033408,-0.8221245546,0.6720055269,1.409061422,2.13933828,0.4178646141,2.53200049,1.286950258,0.7563776665,0.2436223335,24,3.353972456,0.0148116566,24.22445118,6,0.2608695652,189,19.65853659,41,745,745,2020,expanding_past
25,improved,1.309520534,-0.6295798235,0.634790711,1.634744432,2.534898044,0.3439932628,3.806820293,2.079991265,0.6371688728,0.3628311272,39,3.602418526,0.01590883253,40.30585394,8,0.2105263158,552,32.35714286,42,188,552,2020,expanding_past
26,confirm2,1.288854079,-0.612138489,0.636459389,1.618112915,2.50149737,0.339886319,3.792015174,2.105494267,0.6381880147,0.3618119853,37,3.356499457,0.01482281622,38.73724165,8,0.2222222222,552,32.35714286,42,188,552,2020,expanding_past
27,buffer1,1.304949288,-0.6139043347,0.6358419949,1.630010674,2.524768223,0.3441081867,3.792264579,2.125655765,0.6496503175,0.3503496825,33,2.786704855,0.0123065159,39.95473311,4,0.125,552,32.30952381,42,188,552,2020,expanding_past
28,confirm2_buffer1,1.337782335,-0.5933495387,0.631712645,1.659276489,2.56565245,0.3281045857,4.077304595,2.25462775,0.6381797216,0.3618202784,31,2.680176651,0.01183607101,42.52999482,3,0.1,551,32.26190476,42,188,551,2020,expanding_past
29,weekly,1.244381825,-0.6577031317,0.643971073,1.57671991,2.416741166,0.3626765607,3.43110628,1.892011403,0.6475178995,0.3524821005,31,3.286930087,0.01451558722,35.52197037,4,0.1333333333,555,32.42857143,42,188,555,2020,expanding_past
30,hybrid_score,1.278274384,-0.6251151391,0.6320545194,1.61748707,2.507213088,0.3461504289,3.692829121,2.044862305,0.6300061985,0.3699938015,102,6.064419283,0.02678140535,37.95273203,56,0.5544554455,553,32.4047619,42,188,553,2020,expanding_past
31,hybrid_score_conservative,1.249053832,-0.6353263202,0.6298625097,1.600366139,2.481959734,0.3571431516,3.497347846,1.966003599,0.6026607401,0.3973392599,56,4.481905849,0.01979278339,35.84968208,26,0.4727272727,553,32.42857143,42,188,553,2020,expanding_past
32,buy_hold,1.080620432,-0.8378314303,0.7524274304,1.349271672,2.029576256,0.4377347941,2.468664694,1.289782637,1,0,1,0.2262151983,0.000999000999,25.42075531,0,0,169,16.87234043,47,745,745,2020,expanding_past
33,weekly_price,1.092406475,-0.767290079,0.6441899326,1.467318444,2.241510934,0.4320086897,2.528667829,1.423720318,0.6391816491,0.3608183509,20,4.526566118,0.01999000999,26.06286424,8,0.4210526316,190,19.28571429,42,745,745,2020,expanding_past
34,monthly_10m,0.9515521225,-0.7289900897,0.678386122,1.323778679,2.011995985,0.4326581817,2.199316141,1.305301863,0.717916925,0.282083075,8,1.810626447,0.007996003996,19.15857862,0,0,169,17.8,45,745,745,2020,expanding_past
35,weekly_price_vol,0.7728338873,-0.4151333624,0.3801066939,1.696141369,2.65980301,0.2068472568,3.736253984,1.861652079,0.4009554428,0.5990445572,137,4.429376002,0.01956080353,12.53591996,54,0.3970588235,511,29.45652174,46,188,511,2020,expanding_past
36,original,0.6922338603,-0.5438564355,0.6022302697,1.214910841,1.530894184,0.3875667774,1.786102165,1.272824619,0.7706791004,0.2293208996,7,2.941588486,0.002947628708,1.694062771,0,0,292,42,8,0,292,2020,next_year_holdout
37,improved,0.8831072821,-0.5216673077,0.6120319019,1.37989457,1.754675753,0.3414455419,2.58637813,1.692855329,0.7951094422,0.2048905578,9,3.010204659,0.003016385778,1.885556229,0,0,279,33.2,10,0,279,2020,next_year_holdout
38,confirm2,1.009774126,-0.5167568261,0.6225943958,1.470608812,1.904174547,0.3138078153,3.217810635,1.954060546,0.7939100899,0.2060899101,9,2.984576935,0.00299070543,2.012656822,0,0,276,30,11,0,276,2020,next_year_holdout
39,buffer1,0.9136865741,-0.514430949,0.6121850264,1.406055386,1.789312415,0.336032121,2.719045344,1.776111208,0.7945149373,0.2054850627,9,3.025660052,0.003031872906,1.916238671,0,0,277,30.18181818,11,0,277,2020,next_year_holdout
40,confirm2_buffer1,1.099559926,-0.5198237425,0.6201309987,1.544529079,2.00452777,0.3013121735,3.649238308,2.1152553,0.7922228066,0.2077771934,9,2.993772861,0.002999920239,2.102760108,0,0,272,27.41666667,12,0,272,2020,next_year_holdout
41,weekly,0.9634806054,-0.5140237511,0.6281655264,1.426201133,1.840691991,0.3271201755,2.945341429,1.874389274,0.7842530774,0.2157469226,8,3.018015996,0.003024213154,1.966202813,0,0,277,29.81818182,11,0,277,2020,next_year_holdout
42,hybrid_score,0.7983210182,-0.5215476348,0.6121719149,1.30404569,1.66031965,0.3382777627,2.35995713,1.530677094,0.7734588827,0.2265411173,24,5.906133709,0.005918261294,1.800489369,9,0.375,282,33.5,10,0,282,2020,next_year_holdout
