,strategy,period,CAGR,MDD,volatility,Sharpe,Sortino,Ulcer,UPI,Calmar,mean_weight,mean_cash,orders,turnover_pa,fee_sum,final_multiple,reversal_14d_count,reversal_14d_rate,recovery_max_days,recovery_mean_days,recovered_episodes,unrecovered_days,underwater_max_days,one_way_cost
0,original,전체기간,0.502869578,-0.8211602657,0.5677386542,1.004762105,1.476805485,0.4254799017,1.181887972,0.6123890779,0.6999582273,0.3000417727,69,3.526952769,0,81.72377793,14,0.2058823529,1318,60.90909091,55,522,1318,0
1,improved,전체기간,0.6361480157,-0.6282558755,0.5304055505,1.196400081,1.792342988,0.3545663891,1.794157696,1.012561984,0.6038526398,0.3961473602,98,3.527309029,0,204.7461948,15,0.1546391753,1061,52.92063492,63,522,1061,0
2,confirm2,전체기간,0.6390528821,-0.6401390857,0.5329923777,1.196469142,1.793422594,0.3603660688,1.773343656,0.9983031756,0.6038222879,0.3961777121,96,3.431930341,0,208.7098078,15,0.1578947368,1065,56.71428571,63,283,1065,0
3,buffer1,전체기간,0.6325495233,-0.643572,0.531544708,1.190848276,1.782566796,0.3631394638,1.741891439,0.9828729704,0.6108009105,0.3891990895,94,3.107791755,0,199.9309197,9,0.09677419355,1063,54.15151515,66,283,1063,0
4,confirm2_buffer1,전체기간,0.6707636507,-0.6413929598,0.530802997,1.235428073,1.854543091,0.3439924836,1.949936939,1.045792038,0.608496667,0.391503333,90,3.019064605,0,256.7415817,7,0.07865168539,1056,51.984375,64,522,1056,0
5,weekly,전체기간,0.6161230723,-0.6570380195,0.5393233604,1.162815099,1.734859814,0.3656862354,1.684840753,0.9377281892,0.6083379199,0.3916620801,85,3.364729722,0,179.2286345,10,0.119047619,1307,54.70491803,61,522,1307,0
6,hybrid_score,전체기간,0.6425084917,-0.6206943306,0.5251377173,1.210421707,1.818680354,0.3326965472,1.931214788,1.035144773,0.5987575108,0.4012424892,256,6.059976111,0,213.5155087,130,0.5098039216,1051,53.34328358,67,283,1051,0
7,hybrid_score_conservative,전체기간,0.6284447893,-0.633874219,0.5223135893,1.197640094,1.800409738,0.3345202757,1.878644839,0.9914345315,0.5722475073,0.4277524927,162,5.158974567,0,194.5638581,75,0.4658385093,1050,53.34328358,67,283,1050,0
8,buy_hold,전체기간,0.6797232686,-0.8378314303,0.6680016225,1.113044265,1.649852327,0.4254269415,1.597743825,0.8112888154,1,0,1,0.09251519757,0,272.0210901,0,0,1080,46.20512821,78,229,1080,0
9,weekly_price,전체기간,0.6156744117,-0.7658896219,0.5314439837,1.167450247,1.784543055,0.3558417265,1.730191728,0.8038683305,0.615248227,0.384751773,51,4.718275076,0,178.6915451,18,0.36,1055,51.05714286,70,283,1055,0
10,monthly_10m,전체기간,0.7167349191,-0.7284475273,0.5690988648,1.233141436,1.889441092,0.3586771427,1.998273193,0.9839211367,0.7170719352,0.2829280648,14,1.295212766,0,344.282957,0,0,1105,40.43820225,89,229,1105,0
11,weekly_price_vol,전체기간,0.4440339605,-0.4133051664,0.3468577083,1.232300892,1.902626612,0.1989214928,2.232207059,1.074348923,0.4405455769,0.5594544231,324,4.779372681,0,53.07350415,121,0.3746130031,1037,40.29545455,88,283,1037,0
12,original,초기 관측 2015–2016,0.7596227148,-0.3133080623,0.5075114463,1.370392967,1.981016247,0.1604494416,4.73434315,2.424523357,0.751763045,0.248236955,15,5.930512514,0,2.228720797,2,0.1428571429,189,41.83333333,12,3,189,0
13,improved,초기 관측 2015–2016,0.7483292906,-0.3133080623,0.5076911938,1.357401588,1.960058474,0.160796926,4.653878088,2.388477606,0.7217230743,0.2782769257,20,6.241917574,0,2.208461829,5,0.2631578947,190,41.91666667,12,3,190,0
14,confirm2,초기 관측 2015–2016,0.7476305984,-0.3133080623,0.5072847727,1.357298057,1.959322334,0.1608125267,4.649081846,2.386247558,0.7224706525,0.2775293475,19,5.87748179,0,2.207210257,5,0.2777777778,190,41.91666667,12,3,190,0
15,buffer1,초기 관측 2015–2016,0.8466500563,-0.3133080623,0.5078130615,1.464676358,2.138085399,0.1543100062,5.486682797,2.702292594,0.7708227048,0.2291772952,18,5.216691822,0,2.386648334,3,0.1764705882,190,41.75,12,3,190,0
16,confirm2_buffer1,초기 관측 2015–2016,0.8617249935,-0.3133080623,0.5058131857,1.484405523,2.175965524,0.1549046723,5.56293739,2.750407976,0.7707985219,0.2292014781,18,5.226567035,0,2.414326571,3,0.1764705882,190,41.66666667,12,3,190,0
