,strategy,period,CAGR,MDD,volatility,Sharpe,Sortino,Ulcer,UPI,Calmar,mean_weight,mean_cash,orders,turnover_pa,fee_sum,final_multiple,reversal_14d_count,reversal_14d_rate,recovery_max_days,recovery_mean_days,recovered_episodes,unrecovered_days,underwater_max_days,family,value,effective_start
0,original,전체기간,0.661800603,-0.5172293421,0.4878392258,1.284658819,1.964159248,0.2580464371,2.564657007,1.279510942,0.560483413,0.439516587,94,4.802734709,0.05191292713,242.2396119,20,0.2150537634,826,44.4875,80,283,826,base_ma,100,2015-08-02
1,improved,전체기간,0.6265271474,-0.7007648749,0.4899655189,1.237709744,1.876271429,0.2988388441,2.096538518,0.8940618598,0.5736507128,0.4263492872,117,4.428658431,0.04786952358,192.1015821,18,0.1551724138,1096,46.32467532,77,283,1096,base_ma,100,2015-08-02
2,confirm2,전체기간,0.5932169406,-0.681772795,0.5012290917,1.183812754,1.751268514,0.3018137548,1.965506645,0.8701094338,0.5738841546,0.4261158454,113,4.215762374,0.04556832266,153.6019127,13,0.1160714286,757,46.36363636,77,283,757,base_ma,100,2015-08-02
3,buffer1,전체기간,0.6222815778,-0.6417150905,0.5007995517,1.220576958,1.811039626,0.2932148447,2.122271737,0.9697162914,0.5749023444,0.4250976556,111,4.072334405,0.04401800474,186.7505223,15,0.1363636364,791,45.75641026,78,283,791,base_ma,100,2015-08-02
4,confirm2_buffer1,전체기간,0.6135803569,-0.6730261985,0.5033253201,1.206175343,1.791198436,0.3078462543,1.99313894,0.9116738075,0.5775053308,0.4224946692,109,4.026339814,0.0435208476,176.2040274,14,0.1296296296,830,46.36363636,77,283,830,base_ma,100,2015-08-02
5,weekly,전체기간,0.550534323,-0.7264498503,0.5083282552,1.121067552,1.646907553,0.327059738,1.683283691,0.757842159,0.5864809235,0.4135190765,102,4.030283546,0.04356347553,114.5301771,15,0.1485148515,1097,51.12857143,70,283,1097,base_ma,100,2015-08-02
6,weekly_price,전체기간,0.5953045573,-0.7686291112,0.5199709782,1.158020085,1.751813149,0.3573883603,1.665707738,0.7745017052,0.5886524823,0.4113475177,59,5.455623973,0.05897002997,155.7914489,20,0.3448275862,1056,54.1969697,66,283,1056,base_ma,100,2015-08-02
7,weekly_price_vol,전체기간,0.4471924061,-0.4195435027,0.3390976173,1.259229232,1.942261827,0.201001998,2.224815726,1.065902352,0.4198670521,0.5801329479,314,4.980161821,0.05383074297,54.34181126,125,0.3993610224,1049,40.7816092,87,283,1049,base_ma,100,2015-08-02
8,original,초기 관측 2015–2016,0.6635658116,-0.3133080623,0.5017634723,1.268305825,1.826551519,0.1744990737,3.802689592,2.117934045,0.6492767376,0.3507232624,20,7.329496522,0.01039474113,2.058165962,6,0.3157894737,189,50.5,10,3,189,base_ma,100,2015-08-02
9,improved,초기 관측 2015–2016,0.7345255563,-0.3133080623,0.5036326287,1.348558702,1.942316792,0.1648313846,4.456223906,2.344419582,0.7002953174,0.2997046826,23,5.913301903,0.008386284424,2.183773932,5,0.2272727273,189,41.91666667,12,3,189,base_ma,100,2015-08-02
